order_id,expected_amount,order_date,customer_name,status
ORD_1018,12721.35,2026-03-01,Sneha Sharma,COMPLETED
ORD_1012,10716.29,2026-03-01,Sneha Nair,COMPLETED
ORD_1001,9771.69,2026-03-01,Vikram Mehta,COMPLETED
ORD_1025,11458.84,2026-03-02,Rohan Patel,COMPLETED
ORD_1048,13025.63,2026-03-01,Priya Sharma,COMPLETED
ORD_1004,7827.65,2026-03-01,Sneha Reddy,COMPLETED
ORD_1026,11985.15,2026-03-07,Priya Reddy,COMPLETED
ORD_1062,2615.1,2026-03-12,Sneha Sharma,COMPLETED
ORD_1015,5867.62,2026-03-04,Vikram Verma,COMPLETED
ORD_1027,6033.48,2026-03-08,Vikram Sharma,COMPLETED
ORD_1006,11502.71,2026-03-03,Karan Iyer,COMPLETED
ORD_1013,14785.71,2026-03-04,Priya Reddy,COMPLETED
ORD_1043,3819.66,2026-03-01,Ananya Verma,COMPLETED
ORD_1051,7208.11,2026-03-02,Pooja Verma,COMPLETED
ORD_1046,11876.98,2026-03-07,Sneha Verma,COMPLETED
ORD_1056,6633.61,2026-03-09,Pooja Patel,COMPLETED
ORD_1003,960.85,2026-03-02,Sneha Mehta,COMPLETED
ORD_1002,3736.56,2026-03-02,Priya Reddy,COMPLETED
ORD_1049,11059.1,2026-03-02,Sneha Mehta,COMPLETED
ORD_1050,8276.14,2026-03-03,Karan Patel,COMPLETED
ORD_1045,8318.89,2026-03-10,Pooja Mehta,COMPLETED
ORD_1031,13122.52,2026-03-05,Sneha Patel,COMPLETED
ORD_1021,10003.86,2026-03-07,Pooja Patel,COMPLETED
ORD_1022,4340.76,2026-03-04,Vikram Reddy,COMPLETED
ORD_1028,10364.11,2026-03-02,Vikram Iyer,COMPLETED
ORD_1047,10055.25,2026-03-06,Karan Reddy,COMPLETED
ORD_1052,9956.1,2026-03-09,Aarav Verma,COMPLETED
ORD_1055,14786.98,2026-03-05,Pooja Nair,COMPLETED
ORD_1038,13969.25,2026-03-04,Vikram Reddy,COMPLETED
ORD_1032,5921.75,2026-03-03,Aarav Iyer,COMPLETED
ORD_ABANDONED_2,1290.0,2026-03-08,Karan Patel,PENDING
ORD_1064,4738.83,2026-03-12,Sneha Iyer,COMPLETED
ORD_1060,4843.12,2026-03-12,Priya Patel,COMPLETED
ORD_1008,1844.81,2026-03-02,Ananya Iyer,COMPLETED
ORD_1054,13585.42,2026-03-03,Karan Sharma,COMPLETED
ORD_1053,2911.51,2026-03-08,Pooja Mehta,COMPLETED
ORD_ABANDONED_1,3499.0,2026-03-04,Sneha Nair,PAYMENT_FAILED
ORD_1044,7955.26,2026-03-05,Pooja Mehta,COMPLETED
ORD_1036,10066.39,2026-03-09,Rohan Nair,COMPLETED
ORD_1063,3477.53,2026-03-12,Karan Iyer,COMPLETED
ORD_1034,3972.06,2026-03-04,Priya Verma,COMPLETED
ORD_1042,9032.38,2026-03-01,Priya Sharma,COMPLETED
ORD_1061,1274.09,2026-03-12,Priya Mehta,COMPLETED
ORD_1020,3559.25,2026-03-10,Ananya Mehta,COMPLETED
ORD_1057,3253.52,2026-03-04,Aarav Sharma,COMPLETED
ORD_1029,2117.51,2026-03-07,Rohan Gupta,COMPLETED
ORD_1011,12526.37,2026-03-10,Ananya Mehta,COMPLETED
ORD_1019,12173.16,2026-03-07,Vikram Verma,COMPLETED
ORD_1024,14961.22,2026-03-03,Pooja Verma,COMPLETED
ORD_1016,9332.4,2026-03-03,Sneha Patel,COMPLETED
ORD_1058,11345.65,2026-03-01,Aarav Gupta,COMPLETED
ORD_1023,13518.43,2026-03-07,Ananya Mehta,COMPLETED
ORD_1009,9254.03,2026-03-01,Pooja Verma,COMPLETED
ORD_1017,7202.77,2026-03-05,Sneha Iyer,COMPLETED
ORD_1033,7584.78,2026-03-02,Ananya Nair,COMPLETED
ORD_1014,4530.62,2026-03-11,Ananya Patel,COMPLETED
ORD_1035,11112.66,2026-03-02,Rohan Patel,COMPLETED
ORD_1005,3696.39,2026-03-10,Vikram Sharma,COMPLETED
ORD_1007,4529.13,2026-03-04,Ananya Verma,COMPLETED
ORD_1037,8151.27,2026-03-10,Karan Mehta,COMPLETED
ORD_1040,13544.4,2026-03-08,Priya Mehta,COMPLETED
ORD_1030,547.06,2026-03-05,Rohan Verma,COMPLETED
ORD_1001,9771.69,2026-03-01,Vikram Mehta,COMPLETED
ORD_1010,14610.18,2026-03-07,Priya Nair,COMPLETED
ORD_1041,3758.11,2026-03-06,Aarav Mehta,COMPLETED
ORD_1059,3011.4,2026-03-12,Rohan Sharma,COMPLETED
ORD_1039,14929.67,2026-03-11,Ananya Gupta,COMPLETED
